"dtfc-fixed-left","dtfc-fixed-left href","rounded-circle src","coin-title","coin-symbol","number","number 2","number 3","number 4","link-blank src","link-blank src 2","btn","graph src","down","down 2","up"
"11","https://coindiscovery.app/coin/dextopia/overview","https://d2daclycywormq.cloudfront.net/production/coins/1648826912398.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=1da0fc75d352c3a4c595a6951490d28f2bd98cfb32c68cf90013f636f5e2c1a1","DexTopia","DTA","$0.01755","","","$1,754,324","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","291705","https://coindiscovery.app/img/graphs/d1.svg","1.13%","2.23%",""
"12","https://coindiscovery.app/coin/aria-currency/overview","https://d2daclycywormq.cloudfront.net/production/coins/165168030419708.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=f78adaa7cb048ff732158993841aafbe763efce1c1cc81c8cb4338c2477b8b24","aRIA Currency","RIA","$0","-","-","$0","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","247287","https://coindiscovery.app/img/graphs/d1.svg","","",""
"13","https://coindiscovery.app/coin/renewable-energy-token/overview","https://d2daclycywormq.cloudfront.net/production/coins/img-1641599264-RGlyzInQ4jFTypPNTZDxWj01WUeeJh9n8twi1I8AxN-wAF76gwFxnKAUsl3tq2u1ePAPXhbal_s9DKsLFVCQd56Xgnybhcl4jJFt31SaqwZs60GGCbjMO4s30bK1EJyiBkTkR4B89zaJAUCrIDnvHdIghEY-sHpYmfs8Gm79--NLQ-QO6AVtGSUF9tfwjWxa3f.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=38d13318b19efb0961c75ce58e05004c2e8214a6f9acb4612c64118a975a08b3","Renewable Energy Token","RET","$0.00000000001157","","","$313,235","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","215160","https://coindiscovery.app/img/graphs/d3.svg","1.7%","3.34%",""
"14","https://coindiscovery.app/coin/thinkium/overview","https://d2daclycywormq.cloudfront.net/production/coins/img-1633506384-photo_2021-03-24_13-48-13.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=7ba377575098fb674c4a0474e7889d229be7cc446f3e5f0b03bcb724d731312e","Thinkium","TKM","$0","-","-","$0","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","179589","https://coindiscovery.app/img/graphs/d1.svg","","",""
"15","https://coindiscovery.app/coin/coin-discovery-token/overview","https://d2daclycywormq.cloudfront.net/production/coins/16581742176970.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=bd6791953a482a600c69f43e0f27fd676ed85e365770ea2607544ca0af6c9ea3","DiscoverX Token","DXT","$0.004815","","","$481,500","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","178540","https://coindiscovery.app/img/graphs/d2.svg","","","0.00%"
"16","https://coindiscovery.app/coin/clear-water/overview","https://d2daclycywormq.cloudfront.net/production/coins/img-1643964311-ss.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=49eb04fc8ba4184e079e9755f7aa139f21725bce8202316ae50c8657e93997da","Clear Water","CLEAR","$0","-","-","$0","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","161409","https://coindiscovery.app/img/graphs/d3.svg","","",""
"17","https://coindiscovery.app/coin/vrshiba/overview","https://d2daclycywormq.cloudfront.net/production/coins/16522519351321390.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=66aa62414db81125e2a006f3b55351d7bce7be25bd0ac38cec6d4e5dc2850ff8","VRShiba","VRS","$0","-","-","$0","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","159073","https://coindiscovery.app/img/graphs/d4.svg","","",""
"18","https://coindiscovery.app/coin/forever-burn/overview","https://d2daclycywormq.cloudfront.net/production/coins/1666292071552820.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=afe37212f73b1b64715a3a669278c71c46942a22e042da553c7785b2922f7105","Forever Burn","FBURN","$0","-","-","$0","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","138149","https://coindiscovery.app/img/graphs/d1.svg","","",""
"19","https://coindiscovery.app/coin/puppyshiba424/overview","https://d2daclycywormq.cloudfront.net/production/coins/16474692295113824.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=1c7ab142138bf1c15eddd77e596c1aaa94843390753d2883dd48292d7e94183a","PuppyShiba","PSHB","$0.00000000005019","","","$4,448","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","120203","https://coindiscovery.app/img/graphs/d3.svg","0.79%","1.57%",""
"20","https://coindiscovery.app/coin/raider-token/overview","https://d2daclycywormq.cloudfront.net/production/coins/16469962395113566.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=29c70b70baf0756adc35bc487a297a799461a2ba94516770d9028061afa9540b","Raider Token","RAID","$0.001321","","","$226,448","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","112435","https://coindiscovery.app/img/graphs/d1.svg","2.22%","4.34%",""
"21","https://coindiscovery.app/coin/inspace427/overview","https://d2daclycywormq.cloudfront.net/production/coins/16896247845181472.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=b5c5705dde98e8077695376f3d550a69425922e555cd1211614ab56230de747e","InSpace","INSP","$0.00000002665","-","-","$22,960","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","103106","https://coindiscovery.app/img/graphs/u2.svg","","",""
"22","https://coindiscovery.app/coin/onlycam-adult/overview","https://d2daclycywormq.cloudfront.net/production/coins/164800002039.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=67f32e862058e255c1b285bb9f77daf82af41f46ac3f2fdccb8b51ace933c558","OnlyCam Adult","ONLY","$0.004212","","","$4,211,699","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","101273","https://coindiscovery.app/img/graphs/d3.svg","6.65%","10.61%",""
"23","https://coindiscovery.app/coin/floki-christmas/overview","https://d2daclycywormq.cloudfront.net/production/coins/1666312687552820.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=217018ed0f96b01238570485f4731c23e49f9fae59a4cbd757b93b88403766d8","Floki Christmas","FLOC","$0","-","-","$0","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","94955","https://coindiscovery.app/img/graphs/d4.svg","","",""
"24","https://coindiscovery.app/coin/shibelon594/overview","https://d2daclycywormq.cloudfront.net/production/coins/16780176025178077.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=ddfb4238ee8efcacd626e1615784ae124b886c7e01dc0bb6dde60e9b169d1a11","ShibElon","SHIBELON","$0.000000463","-","-","$450,000","https://coindiscovery.app/img/icons/icon-eth.svg","https://coindiscovery.app/img/icons/icon-uniswap.svg","88611","https://coindiscovery.app/img/graphs/u1.svg","","",""
"25","https://coindiscovery.app/coin/baby-doge-coin/overview","https://d2daclycywormq.cloudfront.net/production/coins/baby-doge-coin.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=a9165ad773f299cdc2dfee6906254ba124720f3ac79302d631c8d4d2f502b654","Baby Doge Coin","BABY DOGE","$0.000000001774","","","$404,099,992","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","74648","https://coindiscovery.app/img/graphs/d3.svg","0.34%","0.5%",""
"26","https://coindiscovery.app/coin/safemoon/overview","https://d2daclycywormq.cloudfront.net/production/coins/safemoon.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121700Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=55d7ac65fa7e57f7e9c005034ca16746f2fe1dd5635edd4f513052ffacf9be0a","Safemoon","SAFEMOON","$0.0000004988","","","$280,461,803","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","67484","https://coindiscovery.app/img/graphs/d3.svg","3.85%","8.11%",""
"27","https://coindiscovery.app/coin/lunatic-v2/overview","https://d2daclycywormq.cloudfront.net/production/coins/166066038129325.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121701Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=3d9aa411edb55954bbd1a2bb92396ef7e872885c10e7ba8874ad95dd35ed65d6","Lunatic V2","LUNT","$0","-","-","$0","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","66931","https://coindiscovery.app/img/graphs/d4.svg","","",""
"28","https://coindiscovery.app/coin/pepe-theft-auto/overview","https://d2daclycywormq.cloudfront.net/production/coins/16894783465141148.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121701Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=654e6251de0094c1d771e4e104e2072e52149f0f3c91a14482cd25857804eb9e","Pepe Theft Auto","PTA","$0.0006505","-","-","$65","https://coindiscovery.app/img/icons/icon-eth.svg","https://coindiscovery.app/img/icons/icon-uniswap.svg","64340","https://coindiscovery.app/img/graphs/u4.svg","","",""
"29","https://coindiscovery.app/coin/minifootball/overview","https://d2daclycywormq.cloudfront.net/production/coins/16504783985077.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121701Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=a406a17105e961d4fbd154b7944bf7176902c87e169dd6a505941181b1d645c6","MiniFootball","MINIFOOTBALL","$0.00000000007154","","","$6,250,769","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","63293","https://coindiscovery.app/img/graphs/d4.svg","2.72%","5.3%",""
"30","https://coindiscovery.app/coin/safemoon-elon/overview","https://d2daclycywormq.cloudfront.net/production/coins/img-1627185689-ss.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121701Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=ee21b5161e93fbfcbd1878e07f23e61515062e542d649827ceaeeedbf554e04b","SafeMoon Elon","SME","$0.00000001212","","","$521,365","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","62798","https://coindiscovery.app/img/graphs/d3.svg","1.62%","3.19%",""
"31","https://coindiscovery.app/coin/ronin-gamez/overview","https://d2daclycywormq.cloudfront.net/production/coins/img-1628288865-84e1fdde-a283-4dcf-b0ce-78cebe3547bb.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121701Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=277a6f03eb47d96440cd6afb202618db48164515f8dfbd136b4afc610f6057b0","Ronin Gamez","BSC","$0.00002945","","","$294,543","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","62305","https://coindiscovery.app/img/graphs/d2.svg","1.01%","1.34%",""
"32","https://coindiscovery.app/coin/pupdoge/overview","https://d2daclycywormq.cloudfront.net/production/coins/pupdoge.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121701Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=50fb63844c4751ab5159363fa583a76436100bea0570ef430e50f616cfb7d788","Pupdoge","Pupdoge","$0.0000000009376","","","$885,908","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","62118","https://coindiscovery.app/img/graphs/d1.svg","0.21%","0.37%",""
"33","https://coindiscovery.app/coin/minidoge/overview","https://d2daclycywormq.cloudfront.net/production/coins/minidoge.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121701Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=399d08df78af3c783c5b2b4f8e4818f8133be535d2aff198655e41c30b626b3e","MiniDOGE","MINIDOGE","$0.000000005215","","","$3,661,447","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","61225","https://coindiscovery.app/img/graphs/d3.svg","0.38%","0.95%",""
"34","https://coindiscovery.app/coin/dogecola/overview","https://d2daclycywormq.cloudfront.net/production/coins/16504800673317.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121701Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=e770a61da38166b2a4617cfd9238f7c9316d77d6edc4558f095721ca8fc9409b","DOGECOLA","DOGECOLA","$0.000000002327","","","$1,739,751","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","60480","https://coindiscovery.app/img/graphs/d1.svg","0.85%","1.94%",""
"35","https://coindiscovery.app/coin/dexo-exchange/overview","https://d2daclycywormq.cloudfront.net/production/coins/1665135861629034.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAQTPPHYIFFG3JANUK%2F20240206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240206T121701Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=96ae93ed700b9fa0a1e132733dc91ba58d973f9970cdc2b373475c44091eff96","Dexo Exchange","DEXO","$0","-","-","$0","https://coindiscovery.app/img/icons/icon-binance.svg","https://coindiscovery.app/img/icons/icon-pcs.svg","60225","https://coindiscovery.app/img/graphs/d1.svg","","",""
